1 [0, 1, 2, 3, 4] 286
2 [0, 1, 2, 4, 3] 285
3 [0, 1, 3, 2, 4] 294
4 [0, 1, 3, 4, 2] 253
5 [0, 1, 4, 2, 3] 243
6 [0, 1, 4, 3, 2] 236
7 [0, 2, 1, 3, 4] 281
8 [0, 2, 1, 4, 3] 263
9 [0, 2, 3, 1, 4] 272
10 [0, 2, 3, 4, 1] 265
11 [0, 2, 4, 1, 3] 264
12 [0, 2, 4, 3, 1] 264
13 [0, 3, 1, 2, 4] 294
14 [0, 3, 1, 4, 2] 244
15 [0, 3, 2, 1, 4] 272
16 [0, 3, 2, 4, 1] 273
17 [0, 3, 4, 1, 2] 229
18 [0, 3, 4, 2, 1] 235
19 [0, 4, 1, 2, 3] 234
20 [0, 4, 1, 3, 2] 235
21 [0, 4, 2, 1, 3] 234
22 [0, 4, 2, 3, 1] 243
23 [0, 4, 3, 1, 2] 229
24 [0, 4, 3, 2, 1] 235
25 [1, 0, 2, 3, 4] 274
26 [1, 0, 2, 4, 3] 273
27 [1, 0, 3, 2, 4] 282
28 [1, 0, 3, 4, 2] 244
29 [1, 0, 4, 2, 3] 251
30 [1, 0, 4, 3, 2] 244
31 [1, 2, 0, 3, 4] 272
32 [1, 2, 0, 4, 3] 271
33 [1, 2, 3, 0, 4] 280
34 [1, 2, 3, 4, 0] 269
35 [1, 2, 4, 0, 3] 268
36 [1, 2, 4, 3, 0] 269
37 [1, 3, 0, 2, 4] 282
38 [1, 3, 0, 4, 2] 252
39 [1, 3, 2, 0, 4] 280
40 [1, 3, 2, 4, 0] 277
41 [1, 3, 4, 0, 2] 228
42 [1, 3, 4, 2, 0] 249
43 [1, 4, 0, 2, 3] 220
44 [1, 4, 0, 3, 2] 221
45 [1, 4, 2, 0, 3] 231
46 [1, 4, 2, 3, 0] 239
47 [1, 4, 3, 0, 2] 217
48 [1, 4, 3, 2, 0] 239
49 [2, 0, 1, 3, 4] 273
50 [2, 0, 1, 4, 3] 255
51 [2, 0, 3, 1, 4] 264
52 [2, 0, 3, 4, 1] 255
53 [2, 0, 4, 1, 3] 254
54 [2, 0, 4, 3, 1] 254
55 [2, 1, 0, 3, 4] 276
56 [2, 1, 0, 4, 3] 275
57 [2, 1, 3, 0, 4] 284
58 [2, 1, 3, 4, 0] 268
59 [2, 1, 4, 0, 3] 250
60 [2, 1, 4, 3, 0] 251
61 [2, 3, 0, 1, 4] 264
62 [2, 3, 0, 4, 1] 263
63 [2, 3, 1, 0, 4] 284
64 [2, 3, 1, 4, 0] 259
65 [2, 3, 4, 0, 1] 252
66 [2, 3, 4, 1, 0] 246
67 [2, 4, 0, 1, 3] 251
68 [2, 4, 0, 3, 1] 251
69 [2, 4, 1, 0, 3] 245
70 [2, 4, 1, 3, 0] 248
71 [2, 4, 3, 0, 1] 252
72 [2, 4, 3, 1, 0] 245
73 [3, 0, 1, 2, 4] 285
74 [3, 0, 1, 4, 2] 235
75 [3, 0, 2, 1, 4] 263
76 [3, 0, 2, 4, 1] 264
77 [3, 0, 4, 1, 2] 226
78 [3, 0, 4, 2, 1] 234
79 [3, 1, 0, 2, 4] 276
80 [3, 1, 0, 4, 2] 246
81 [3, 1, 2, 0, 4] 274
82 [3, 1, 2, 4, 0] 271
83 [3, 1, 4, 0, 2] 213
84 [3, 1, 4, 2, 0] 234
85 [3, 2, 0, 1, 4] 255
86 [3, 2, 0, 4, 1] 254
87 [3, 2, 1, 0, 4] 275
88 [3, 2, 1, 4, 0] 250
89 [3, 2, 4, 0, 1] 251
90 [3, 2, 4, 1, 0] 245
91 [3, 4, 0, 1, 2] 248
92 [3, 4, 0, 2, 1] 252
93 [3, 4, 1, 0, 2] 236
94 [3, 4, 1, 2, 0] 258
95 [3, 4, 2, 0, 1] 244
96 [3, 4, 2, 1, 0] 262
97 [4, 0, 1, 2, 3] 256
98 [4, 0, 1, 3, 2] 257
99 [4, 0, 2, 1, 3] 252
100 [4, 0, 2, 3, 1] 261
101 [4, 0, 3, 1, 2] 257
102 [4, 0, 3, 2, 1] 261
103 [4, 1, 0, 2, 3] 244
104 [4, 1, 0, 3, 2] 245
105 [4, 1, 2, 0, 3] 258
106 [4, 1, 2, 3, 0] 267
107 [4, 1, 3, 0, 2] 245
108 [4, 1, 3, 2, 0] 267
109 [4, 2, 0, 1, 3] 244
110 [4, 2, 0, 3, 1] 253
112 [4, 2, 1, 3, 0] 271
113 [4, 2, 3, 0, 1] 253
114 [4, 2, 3, 1, 0] 271
115 [4, 3, 0, 1, 2] 248
116 [4, 3, 0, 2, 1] 252
117 [4, 3, 1, 0, 2] 239
118 [4, 3, 1, 2, 0] 261
119 [4, 3, 2, 0, 1] 244
120 [4, 3, 2, 1, 0] 262
